zone,n_clusters,n_children,mcv1_smooth,mcv1_raw,n_markets,mkt_idx,mkt_trend,conflict_events,fatalities,mcv1_reliable
Afder,10.0,33.0,0.12212121212121213,0.12121212121212122,0.0,,,9.0,139.0,True
Agnuak,23.0,78.0,0.48653846153846164,0.5,0.0,,,107.0,368.0,True
Alaba,3.0,8.0,0.6375,0.625,3.0,96.40016908212561,-0.5338752744027908,5.0,1.0,True
Arsi,5.0,19.0,0.43736842105263163,0.47368421052631576,69.0,99.80408626600224,-0.12525342680335078,99.0,477.0,True
Asosa,20.0,52.0,0.5063461538461538,0.5384615384615384,15.0,98.31420926200674,-0.07257742845702113,64.0,283.0,True
Awi/Agew,3.0,7.0,0.6385714285714286,0.7142857142857143,40.0,99.43311456135397,0.11037022212202789,44.0,223.0,True
Bale,6.0,38.0,0.17,0.07894736842105263,65.0,100.6882012996294,-0.08190561286354427,54.0,136.0,True
Basketo,2.0,4.0,,,1.0,123.89999999999999,1.147520788420078,0.0,0.0,False
Bench Maji,16.0,35.0,0.584,0.5142857142857142,14.0,100.43424293960008,0.898053267676201,20.0,112.0,True
Borena,2.0,4.0,,,15.0,94.75660183962351,0.5438399006847959,152.0,411.0,False
Central,18.0,63.0,0.6804761904761905,0.6984126984126984,50.0,93.77778675889327,0.050020894682610895,233.0,772.0,True
Dawro,8.0,31.0,0.5558064516129032,0.5806451612903226,1.0,99.68947368421053,0.3339540412044358,0.0,0.0,True
Dire Dawa,39.0,115.0,0.591304347826087,0.591304347826087,0.0,,,58.0,45.0,True
Doolo,4.0,16.0,0.179375,0.1875,0.0,,,6.0,32.0,True
East Gojam,6.0,18.0,0.6744444444444445,0.6666666666666666,57.0,100.15269484922231,-0.5226009570252174,97.0,230.0,True
East Harerge,7.0,26.0,0.22692307692307698,0.07692307692307693,27.0,100.66305267686181,0.40188919928246497,176.0,348.0,True
East Shewa,5.0,9.0,0.6122222222222223,0.7777777777777778,36.0,99.93007148346823,-0.08349863422717457,206.0,738.0,True
East Wellega,3.0,8.0,0.46375,0.5,40.0,99.93392727881618,0.2016705987985743,283.0,1177.0,True
"Eastern
",12.0,29.0,0.6648275862068964,0.6206896551724138,32.0,98.98896708250989,0.23000422279507662,171.0,1157.0,True
Fafan,9.0,29.0,0.21034482758620687,0.20689655172413793,1.0,102.9875,-0.6606521739130473,68.0,64.0,True
Gamo Gofa,19.0,70.0,0.38285714285714284,0.3142857142857143,19.0,102.32777423648254,0.7705587862801964,27.0,110.0,True
Gedio,9.0,24.0,0.40874999999999995,0.4166666666666667,3.0,105.01115921115921,3.947432957562794,3.0,5.0,True
Guji,4.0,10.0,0.15200000000000002,0.0,18.0,101.1574307101758,0.7190606011320748,152.0,507.0,True
Gurage,18.0,57.0,0.5566666666666666,0.5263157894736842,22.0,99.25053229223789,1.20054958471486,57.0,111.0,True
Hadiya,16.0,54.0,0.48944444444444446,0.3888888888888889,7.0,98.4401216275984,1.296112492311033,20.0,0.0,True
Hareri,31.0,93.0,0.6118279569892472,0.6129032258064516,0.0,,,25.0,20.0,True
Horo Guduru,3.0,8.0,0.6100000000000001,0.75,13.0,100.82107058329565,0.44271909106740065,177.0,1098.0,True
Ilubabor,3.0,8.0,0.39499999999999996,0.375,59.0,98.30217036654345,0.6421082237844947,34.0,107.0,True
Jarar,8.0,24.0,0.10458333333333332,0.041666666666666664,0.0,,,10.0,22.0,True
Jimma,7.0,20.0,0.31850000000000006,0.3,69.0,104.84427422794475,0.8683149919101718,45.0,79.0,True
Keffa,18.0,46.0,0.5497826086956522,0.5,32.0,97.97903075161463,0.1726328009131577,9.0,68.0,True
Kelem Wellega,1.0,2.0,,,20.0,110.68503544970793,0.48479638476684367,120.0,557.0,False
Kemashi,6.0,21.0,0.37142857142857144,0.3333333333333333,4.0,105.49038461538461,1.2264231184850503,30.0,622.0,True
Konta,3.0,6.0,0.6183333333333333,0.8333333333333334,2.0,103.18809523809524,1.8489914936978649,0.0,0.0,True
Korahe,4.0,12.0,0.08833333333333333,0.0,0.0,,,18.0,47.0,True
KT,8.0,25.0,0.5820000000000001,0.68,9.0,101.48889970233108,0.12465392470630302,5.0,0.0,True
Liben,4.0,20.0,0.1145,0.15,1.0,110.61304347826086,0.19835665985217701,8.0,18.0,True
Majang,9.0,27.0,0.45851851851851855,0.4444444444444444,3.0,97.04088164251208,0.5426931859056692,9.0,13.0,True
Metekel,19.0,72.0,0.24305555555555555,0.2222222222222222,20.0,103.13577660430721,0.8010670712732895,133.0,1561.0,True
Nogob,4.0,13.0,0.10153846153846155,0.07692307692307693,0.0,,,1.0,1.0,True
North Gonder,12.0,34.0,0.6620588235294118,0.6764705882352942,58.0,99.19290811574731,0.25755152135031006,220.0,712.0,True
North Shewa(R3),6.0,14.0,0.6342857142857143,0.5714285714285714,79.0,99.18421099309789,0.21026085108973458,258.0,1127.0,True
North Shewa(R4),4.0,15.0,0.5993333333333333,0.6666666666666666,49.0,98.04509790198905,0.06553712756427886,278.0,720.0,True
North Western,10.0,36.0,0.7205555555555555,0.75,18.0,100.03664178012005,0.3547512059180626,265.0,771.0,True
North Wollo,6.0,19.0,0.7321052631578947,0.7894736842105263,75.0,98.90389362256101,-0.01373785571392661,474.0,1459.0,True
Nuer,9.0,34.0,0.3170588235294118,0.29411764705882354,0.0,,,12.0,56.0,True
Oromia,3.0,14.0,0.7042857142857143,0.7142857142857143,23.0,98.57532923755514,0.4500356889150445,127.0,509.0,True
Region 14,42.0,115.0,0.9166956521739131,0.9217391304347826,0.0,,,247.0,82.0,True
Segen Peoples',7.0,30.0,0.4796666666666667,0.5,9.0,103.05725494312452,0.003170497445848186,63.0,233.0,True
Selti,9.0,28.0,0.5371428571428571,0.7142857142857143,13.0,95.39786887924804,-0.25571140112008917,11.0,2.0,True
Shabelle,9.0,43.0,0.1418604651162791,0.13953488372093023,0.0,,,6.0,90.0,True
Sheka,6.0,13.0,0.7661538461538461,1.0,10.0,95.7369769433465,1.084906079418886,12.0,31.0,True
Sidama,56.0,162.0,0.5190740740740741,0.5185185185185185,21.0,107.37303521782012,0.6695379254208647,58.0,96.0,True
Siti,3.0,12.0,0.16166666666666665,0.25,1.0,104.99375,2.1695588235294108,67.0,181.0,True
South Gonder,8.0,18.0,0.508888888888889,0.4444444444444444,62.0,97.66247330801504,-0.14955295499757232,98.0,284.0,True
South Omo,8.0,26.0,0.4857692307692308,0.5384615384615384,18.0,97.87817706472836,0.7560573437297322,24.0,58.0,True
South West Shewa,2.0,6.0,,,26.0,100.96106873373893,-0.10956753773970823,66.0,133.0,False
South Wollo,9.0,21.0,0.7533333333333333,0.8571428571428571,139.0,99.72230299272722,0.15927331296941666,156.0,332.0,True
Southern,19.0,60.0,0.6423333333333333,0.6333333333333333,56.0,98.25868778316662,0.29209587227953066,386.0,962.0,True
Special Woreda,,,,,2.0,94.38020833333333,0.40842519181585674,5.0,6.0,False
Wag Himra,1.0,7.0,,,25.0,96.72791392810088,0.027974209576526157,75.0,133.0,False
West Arsi,5.0,26.0,0.23692307692307693,0.15384615384615385,39.0,101.95602657056503,0.10230471393892665,65.0,95.0,True
West Gojam,8.0,22.0,0.6340909090909091,0.6363636363636364,80.0,98.10785836627142,-0.07488889645625321,139.0,318.0,True
West Harerge,6.0,20.0,0.34550000000000003,0.45,41.0,100.73633755983278,0.22838808003057967,105.0,163.0,True
West Shewa,6.0,22.0,0.6472727272727273,0.7272727272727273,54.0,101.5835895185506,0.1553096636681726,388.0,1108.0,True
West Wellega,4.0,7.0,0.6385714285714286,1.0,58.0,102.23503747996745,0.1052775109323799,235.0,669.0,True
Western,5.0,16.0,0.60375,0.5625,15.0,101.50000900307421,-0.13799068000967166,133.0,1395.0,True
Wolayita,14.0,27.0,0.6755555555555555,0.7407407407407407,8.0,101.20820509280787,0.6647255449510654,31.0,27.0,True
Yem,1.0,3.0,,,2.0,95.57424242424241,-0.7506527294040763,0.0,0.0,False
Zone 1,15.0,45.0,0.31533333333333335,0.28888888888888886,2.0,97.19188311688312,0.024434620902386323,92.0,270.0,True
Zone 2,10.0,46.0,0.6054347826086957,0.7391304347826086,6.0,98.31407004830918,-0.045524119816135244,93.0,480.0,True
Zone 3,9.0,43.0,0.25325581395348834,0.23255813953488372,3.0,86.97995169082124,1.360953662639547,73.0,512.0,True
Zone 4,6.0,36.0,0.2588888888888889,0.2222222222222222,1.0,96.60000000000001,0.22427936089606348,42.0,432.0,True
Zone 5,8.0,32.0,0.2359375,0.1875,3.0,99.07601010101011,0.10834440897101856,13.0,33.0,True
